od pair,traffic volume,path,distance
15_8,,134-93-106-81-73-65-61-45-17,2971.98
15_8,,134-93-85-98-73-65-61-45-17,2977.84
15_8,,134-93-85-77-86-65-61-45-17,2961.84
15_8,,134-93-85-77-69-78-45-17,2961.86
15_8,,134-93-85-77-69-49-38-17,2974.34
15_10,63,134-93-85-77-69-49-44,2541.35
15_10,,134-130-89-81-73-65-61-45-40-44,3425.67
15_11,52,134-93-85-77-69-84,2066.18
15_11,,134-130-89-81-73-65-61-80-84,2959.94
15_12,43,134-93-85-77-92,1601.11
15_12,,134-93-85-77-92,1601.11
15_13,31,134-93-85-104,1135.79
15_13,,134-130-89-81-100-104,2022.27
15_14,35,134-93-112,665.47
15_14,,134-130-89-108-112,1526.11
15_17,32,134-130-107,436.11
15_17,,134-93-106-87-107,1755.47
15_24,15,134-130-89-81-94,1586.45
15_24,,134-93-106-81-94,1565.75
15_24,,134-93-85-98-94,1571.61
15_25,121,134-130-89-81-73-65-61-45-34,2992.68
15_25,,134-93-106-81-73-65-61-45-34,2971.98
15_25,,134-93-85-98-73-65-61-45-34,2977.84
15_25,,134-93-85-77-86-65-61-45-34,2961.84
15_25,,134-93-85-77-69-78-45-34,2961.86
15_25,,134-93-85-77-69-49-38-34,2974.34
15_26,89,134-130-89-81-73-65-74,2239.87
15_26,,134-93-106-81-73-65-74,2219.17
15_26,,134-93-85-98-73-65-74,2225.03
15_26,,134-93-85-77-86-65-74,2209.03
15_27,102,134-130-126,436.11
15_27,,134-93-106-87-126,1755.47
16_8,113,113-130-89-81-73-65-61-45-17,2992.68
16_8,,113-93-106-81-73-65-61-45-17,2971.98
16_8,,113-93-85-98-73-65-61-45-17,2977.84
16_8,,113-93-85-77-86-65-61-45-17,2961.84
16_8,,113-93-85-77-69-78-45-17,2961.86
16_8,,113-93-85-77-69-49-38-17,2974.34
16_10,23,113-93-85-77-69-49-44,2541.35
16_10,,113-130-89-81-73-65-61-45-40-44,3425.67
16_11,21,113-93-85-77-69-84,2066.18
16_11,,113-130-89-81-73-65-61-80-84,2959.94
16_12,23,113-93-85-77-92,1601.11
16_12,,113-130-89-81-73-88-92,2497.59
16_13,32,113-93-85-104,1135.79
16_13,,113-130-89-81-100-104,2022.27
16_14,21,113-93-112,665.47
16_14,,113-130-89-108-112,1526.11
16_17,53,113-130-107,436.11
16_17,,113-93-106-87-107,1755.47
16_24,31,113-130-89-81-94,1586.45
16_24,,113-93-106-81-94,1565.75
16_24,,113-93-85-98-94,1571.61
16_25,110,113-130-89-81-73-65-61-45-34,2992.68
16_25,,113-93-106-81-73-65-61-45-34,2971.98
16_25,,113-93-85-98-73-65-61-45-34,2977.84
16_25,,113-93-85-77-86-65-61-45-34,2961.84
