15-34-39-70-66-62-55-95-128-107,11
15-34-30-26-22-31-55-95-128-107,11
15-43-59-63-71-79-87-107,10
15-43-59-74-70-66-62-55-95-122-118-124-128-107,10
15-34-30-26-22-18-27-60-55-95-128-107,9
15-34-30-26-35-62-55-95-122-118-124-128-107,9
15-34-39-70-66-62-55-95-122-118-124-128-107,9
15-34-30-26-22-31-55-95-122-118-124-128-107,9
15-43-59-63-71-94,7
15-34-39-76-63-71-94,6
15-43-59-63-88-75-98-94,5
15-43-80-67-75-98-94,5
15-43-80-67-86-71-94,5
15-40-47-67-75-98-94,5
15-40-47-78-59-63-71-94,5
15-40-47-67-86-71-94,5
15-34-30-26-35-68-72-76-63-71-94,5
15-34-39-76-63-88-75-98-94,4
15-43-59-74,4
15-40-47-78-59-74,3
15-43-80-67-86-65-74,3
15-40-47-67-86-65-74,3
15-43-59-63-88-75-98-73-65-74,2
15-43-59-63-71-100-77-86-65-74,2
15-43-80-67-75-98-73-65-74,2
15-40-47-67-75-98-73-65-74,2
15-34-39-76-61-80-67-86-65-74,2
15-34-39-76-63-88-69-78-59-74,2
15-43-59-63-71-79-87-126,13
15-34-39-76-63-71-79-87-126,11
15-43-59-63-88-75-83-106-87-126,10
15-43-80-67-75-83-106-87-126,10
15-43-59-63-88-75-83-91-130-126,10
15-43-80-67-75-83-91-130-126,10
15-40-47-67-75-83-106-87-126,10
15-43-59-63-71-100-83-106-87-126,10
15-43-59-63-71-79-108-91-130-126,10
15-40-47-67-75-83-91-130-126,10
19-38-17,10
19-47-78-45-17,7
19-47-67-86-65-61-45-17,5
19-38-34-39-76-61-45-17,5
19-38-43-59-74-41-36-17,5
19-47-78-59-74-41-36-17,5
19-38-43-59-74-70-37-32-36-17,5
19-47-78-59-74-70-37-32-36-17,5
19-38-34-39-70-37-32-36-17,4
19-47-67-86-65-74-41-36-17,4
19-47-84,7
19-38-43-80-84,5
19-38-43-59-63-88-69-84,4
19-47-78-59-63-88-69-84,4
19-47-67-86-65-61-80-84,4
19-38-34-39-76-61-80-84,4
19-38-34-39-76-63-88-69-84,3
19-38-34-30-26-35-68-72-76-61-80-84,3
19-38-43-59-63-71-100-77-69-84,3
19-47-78-59-63-71-100-77-69-84,3
19-47-67-92,5
19-38-43-59-63-88-92,4
19-38-43-80-67-92,4
19-47-78-59-63-88-92,4
19-38-34-39-76-63-88-92,3
19-38-43-59-63-71-100-77-92,3
19-47-78-59-63-71-100-77-92,3
19-47-67-86-71-100-77-92,3
19-47-67-75-98-73-88-92,3
19-38-34-30-26-35-68-72-76-63-88-92,2
19-47-67-75-104,16
19-38-43-59-63-88-75-104,12
19-38-43-80-67-75-104,12
19-47-78-59-63-88-75-104,12
19-38-43-59-63-71-100-104,12
19-47-78-59-63-71-100-104,12
19-47-67-86-71-100-104,12
19-38-34-39-76-63-88-75-104,10
19-38-34-39-76-63-71-100-104,10
19-38-43-80-67-86-71-100-104,9
19-47-67-75-83-112,13
19-38-43-59-63-88-75-83-112,10
19-38-43-80-67-75-83-112,10
19-47-78-59-63-88-75-83-112,10
19-38-43-59-63-71-79-108-112,10
19-47-67-75-98-79-108-112,10
19-38-43-59-63-71-100-83-112,10
19-47-78-59-63-71-79-108-112,10
19-47-67-86-71-79-108-112,10
19-47-78-59-63-71-100-83-112,10
19-47-67-75-83-91-136,12
19-38-43-59-74-70-66-62-55-95-128-132-136,11
19-47-78-59-74-70-66-62-55-95-128-132-136,11
19-38-34-30-26-35-62-55-95-128-132-136,10
19-38-34-39-70-66-62-55-95-128-132-136,10
19-38-34-30-26-22-31-55-95-128-132-136,10
19-47-67-86-65-74-70-66-62-55-95-128-132-136,9
19-38-43-59-63-88-75-83-91-136,9
19-38-43-80-67-75-83-91-136,9
19-47-67-75-83-106-87-132-136,9
19-47-67-75-83-91-111,10
19-38-43-59-74-70-66-62-55-95-128-132-111,8
19-47-78-59-74-70-66-62-55-95-128-132-111,8
19-38-34-30-26-35-62-55-95-128-132-111,8
19-38-34-39-70-66-62-55-95-128-132-111,8
19-38-34-30-26-22-31-55-95-128-132-111,8
19-47-67-86-65-74-70-66-62-55-95-128-132-111,8
19-38-43-59-63-88-75-83-91-111,7
19-38-43-80-67-75-83-91-111,7
19-47-67-75-83-106-87-132-111,7
19-38-43-59-74-70-66-62-55-95-128-107,10
19-47-78-59-74-70-66-62-55-95-128-107,10
19-38-34-30-26-35-62-55-95-128-107,10
19-38-34-39-70-66-62-55-95-128-107,10
19-38-34-30-26-22-31-55-95-128-107,10
19-47-67-86-65-74-70-66-62-55-95-128-107,9
19-47-67-75-83-106-87-107,9
19-47-67-75-83-91-130-107,9
19-38-43-59-63-71-79-87-107,8
19-47-67-75-98-79-87-107,8
19-38-43-59-63-71-94,3
19-47-67-75-98-94,3
19-47-78-59-63-71-94,3
19-47-67-86-71-94,3
19-38-34-39-76-63-71-94,2
19-38-43-59-63-88-75-98-94,2
19-38-43-80-67-75-98-94,2
