917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17443:0,0,1,0,1,0,2,1,2,4,4,7,2,1,2,3,4,3,1,2,1,5,1,2,4,2,2,2,4,1,2,3,4,4,2,4,0,2,2,3,1,1,2,3,4,6,3,2,3,3,3,5,2,0,1,2,2,1,4,3,1,3,1,0,0
917541:0,0,3,3,2,2,2,3,1,1,0,2,1,3,1,4,1,2,1,1,3,3,1,2,2,0,1,0,3,2,0,4,3,2,2,0,4,2,3,2,2,2,3,1,2,2,2,4,1,2,1,2,2,1,1,2,1,2,2,2,3,0,0,0,0
16935:0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0
917544:0,0,0,5,4,4,2,2,2,3,2,0,2,1,1,3,8,5,2,1,6,3,4,4,4,5,2,1,1,4,3,3,1,1,0,2,0,2,2,3,3,1,5,0,1,3,4,4,4,5,1,1,5,2,5,1,5,1,4,3,3,2,1,1,0
917545:0,0,1,3,3,2,3,3,1,7,0,2,2,4,4,4,2,3,2,4,2,2,3,4,1,1,1,2,1,5,1,5,4,3,7,1,1,3,3,3,1,1,2,3,4,1,2,3,5,4,4,6,3,8,4,3,2,3,4,4,4,3,2,0,0
16938:0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
917035:0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
16931:0,0,0,4,4,5,5,6,6,4,4,3,6,5,5,6,4,7,2,4,4,4,5,4,6,4,7,4,4,6,1,4,5,3,1,3,2,8,8,5,6,3,3,2,2,2,10,4,7,2,6,2,7,0,3,3,3,2,3,6,1,5,0,0,0
917430:0,0,1,5,5,8,7,4,6,6,10,1,8,6,7,1,8,4,5,2,3,6,7,5,7,7,10,11,9,8,6,8,6,7,4,4,10,8,5,5,6,4,8,6,10,5,5,6,12,5,5,7,8,11,9,10,6,5,6,7,7,7,2,1,0
17528:0,0,3,5,10,12,8,8,8,5,13,6,5,6,9,11,6,4,6,10,12,11,6,7,6,8,4,7,9,4,13,2,9,12,3,8,9,12,10,7,14,9,5,7,9,3,8,8,14,10,7,7,9,7,8,5,8,4,10,7,7,8,6,2,0
917429:0,0,2,4,7,4,5,5,2,6,5,3,4,4,7,4,6,2,4,2,4,4,6,3,8,3,5,9,5,7,7,6,8,3,7,3,5,5,3,5,4,3,5,6,4,5,4,4,7,6,3,5,5,9,4,3,2,2,7,5,4,4,2,0,0
