car_id,start_time,path
295,1420,917441-917442-17515-17531-17532-17605-17713-917825-917715
296,2790,917441-917442-17515-17531-17532-17605-17713-917825-917715
297,1911,917441-17443-17532-17605-17713-17826-917898-917828-917715
298,3411,917441-17443-17532-17605-17713-17826-917898-917828-917715
299,554,917441-17443-17532-17605-917712-917714-17718-17827-917715
300,1,917441-17443-17532-17605-917712-917714-17718-17827-917715
301,1344,917441-17443-17532-17605-17710-17711-917823-917825-917715
302,2486,917441-17443-17532-17605-17710-17711-917823-917825-917715
303,3516,917441-17443-917531-17592-17716-17718-17827-917715
304,2240,917441-17443-917531-17592-17716-17718-17827-917715
305,186,17287-917302-917221-917155-917086-17035-17025-17022-17021-17018-917016
306,791,17287-917302-917221-917155-917086-17035-17025-17022-17021-17018-917016
307,406,17287-917302-917221-917155-917086-17035-17025-17022-17021-17018-917016
308,366,17287-917302-17243-17242-17239-17238-917237-17166-17163-917161-917103-917016
309,3345,17287-917302-17243-17242-17239-17238-917237-17166-17163-917161-917103-917016
310,2388,17287-917302-17243-17242-17239-17238-917237-917165-917107-17021-17018-917016
311,2977,17287-917302-17243-17242-17239-17238-917237-917165-917107-17021-17018-917016
312,2642,17287-17336-17334-917332-17239-17238-917237-17166-17163-917161-917103-917016
313,2550,17287-17336-17334-917332-17239-17238-917237-17166-17163-917161-917103-917016
314,2114,17287-17336-17334-917332-17239-17238-917237-917165-917107-17021-17018-917016
315,1426,17287-17336-17334-917332-17239-17238-917237-917165-917107-17021-17018-917016
316,3021,17287-917302-17243-17242-917241-917169-917111-17025-17022-17021-17018-917016
317,2351,17287-917302-17243-17242-917241-917169-917111-17025-17022-17021-17018-917016
318,1198,40310-917592-917515-917421-917302-917221-917155-917086-17035-17025-17022-917020
319,3227,40310-917592-917515-917421-917302-917221-917155-917086-17035-17025-17022-917020
320,1618,40310-917592-917515-917421-917302-917221-917155-917086-17035-17025-17022-917020
321,2965,40310-917592-917515-917421-917302-17243-17242-17239-17238-917237-917165-917107-917020
322,3576,40310-917592-917515-917421-917302-17243-17242-17239-17238-917237-917165-917107-917020
323,1303,40310-917592-917515-917421-17336-17334-917332-17239-17238-917237-917165-917107-917020
324,378,40310-917592-917515-917421-17336-17334-917332-17239-17238-917237-917165-917107-917020
325,679,40310-917592-17531-17530-917529-917440-917332-17239-17238-917237-917165-917107-917020
326,2526,40310-917592-17531-17530-917529-917440-917332-17239-17238-917237-917165-917107-917020
327,922,40310-917592-917515-917421-917302-17243-17242-917241-917169-917111-17025-17022-917020
328,437,40310-917592-917515-917421-917302-17243-17242-917241-917169-917111-17025-17022-917020
329,3383,40310-917592-917515-917421-17336-17334-917332-917241-917169-917111-17025-17022-917020
330,1576,40310-917592-917515-917421-17336-17334-917332-917241-917169-917111-17025-17022-917020
331,1579,917438-917440-917332-17239-17238-917237-17166-17163-917161-917103-917016
332,696,917438-917440-917332-17239-17238-917237-17166-17163-917161-917103-917016
333,248,917438-917440-917332-17239-17238-917237-17166-17163-917161-917103-917016
334,3265,917438-917440-917332-17239-17238-917237-917165-917107-17021-17018-917016
335,3182,917438-917440-917332-17239-17238-917237-917165-917107-17021-17018-917016
336,1878,917438-917440-917332-17239-17238-917237-917165-917107-17021-17018-917016
337,930,917438-917440-917332-917241-917169-917111-17025-17022-17021-17018-917016
338,433,917438-917440-917332-917241-917169-917111-17025-17022-17021-17018-917016
339,737,917438-917440-917332-17239-17238-17235-17234-917233-917161-917103-917016
340,733,917438-917440-917332-17239-17238-17235-17234-917233-917161-917103-917016
341,2784,917438-917440-917332-917241-17170-17167-17166-17163-917161-917103-917016
342,1338,917438-917440-917332-917241-17170-17167-17166-17163-917161-917103-917016
343,3415,917438-917440-917332-917241-17170-17167-917165-917107-17021-17018-917016
344,3376,917438-917440-917332-917241-17170-17167-917165-917107-17021-17018-917016
345,1490,17331-17439-17526-917525-917436-917328-917237-17166-17163-917161-917103-917018-916931
346,3237,17331-17439-17526-917525-917436-917328-917237-17166-17163-917161-917103-917018-916931
347,2811,17331-17439-17526-917525-917436-917328-917237-17166-17163-917161-917103-917018-916931
348,3230,17331-17439-17526-917525-917436-17329-17326-917324-917233-917161-917103-917018-916931
349,1776,17331-17439-17526-917525-917436-17329-17326-917324-917233-917161-917103-917018-916931
350,2172,17331-17439-17526-917525-917436-17329-17326-917324-917233-917161-917103-917018-916931
351,590,17331-917438-917440-917332-17239-17238-917237-17166-17163-917161-917103-917018-916931
352,3095,17331-917438-917440-917332-17239-17238-917237-17166-17163-917161-917103-917018-916931
353,2989,17331-917438-917440-917332-17239-17238-917237-17166-17163-917161-917103-917018-916931
354,1873,17331-17439-17526-917525-917436-917328-17235-17234-917233-917161-917103-917018-916931
355,1091,17331-17439-17526-917525-917436-917328-17235-17234-917233-917161-917103-917018-916931
356,2786,17331-917438-917440-917332-17239-17238-17235-17234-917233-917161-917103-917018-916931
357,1458,17331-917438-917440-917332-17239-17238-17235-17234-917233-917161-917103-917018-916931
358,2475,17331-917438-917440-917332-917241-17170-17167-17166-17163-917161-917103-917018-916931
359,2401,17331-917438-917440-917332-917241-17170-17167-17166-17163-917161-917103-917018-916931
360,1761,17287-917302-17243-17242-17239-17238-917237-17166-17163-917161
361,233,17287-917302-17243-17242-17239-17238-917237-17166-17163-917161
362,1690,17287-917302-17243-17242-17239-17238-917237-17166-17163-917161
363,3050,17287-17336-17334-917332-17239-17238-917237-17166-17163-917161
364,2688,17287-17336-17334-917332-17239-17238-917237-17166-17163-917161
365,2573,17287-17336-17334-917332-17239-17238-917237-17166-17163-917161
366,1203,17287-917302-17243-17242-17239-17238-17235-17234-917233-917161
367,2036,17287-917302-17243-17242-17239-17238-17235-17234-917233-917161
368,2695,17287-917302-17243-17242-917241-17170-17167-17166-17163-917161
369,1332,17287-917302-17243-17242-917241-17170-17167-17166-17163-917161
370,1354,17287-17336-17334-917332-17239-17238-17235-17234-917233-917161
371,993,17287-17336-17334-917332-17239-17238-17235-17234-917233-917161
372,1752,17287-17336-17334-917332-917241-17170-17167-17166-17163-917161
373,209,17287-17336-17334-917332-917241-17170-17167-17166-17163-917161
374,2719,17287-917302-917221-917155-917086-17035-17025-17022-17021-17018-17017
375,762,17287-917302-917221-917155-917086-17035-17025-17022-17021-17018-17017
376,2836,17287-917302-917221-917155-917086-17035-17025-17022-17021-17018-17017
377,3369,17287-917302-17243-17242-17239-17238-917237-17166-17163-917161-917103-17017
378,3444,17287-917302-17243-17242-17239-17238-917237-17166-17163-917161-917103-17017
