17526:0,0,1,4,7,5,8,5,2,3,7,4,2,6,4,7,4,1,3,6,3,3,9,5,9,4,7,5,1,4,7,4,2,6,4,2,3,5,2,4,6,3,4,6,1,1,1,5,10,8,4,2,5,6,5,4,5,2,7,7,8,3,2,1,0,0,0
17527:0,0,4,3,7,6,8,5,3,5,5,6,3,4,5,4,3,2,8,6,7,7,5,6,5,4,2,5,5,5,6,6,2,6,5,0,3,6,3,3,6,5,2,5,4,3,3,7,6,9,6,5,8,6,5,5,3,5,4,10,4,3,1,1,0,0,0
917112:0,0,0,2,1,2,2,0,4,2,5,4,4,2,3,2,3,1,2,3,1,5,7,2,5,3,1,1,6,4,3,1,5,1,3,1,3,2,7,1,3,2,4,2,2,6,2,4,3,4,2,3,3,3,6,2,3,5,2,4,0,3,2,2,0,0,0
917113:0,0,0,2,2,0,2,2,1,4,5,3,0,0,0,0,1,2,1,0,0,0,5,2,1,2,1,0,3,2,0,0,4,2,2,1,0,3,1,2,3,0,0,1,1,2,1,0,1,2,3,1,0,0,2,2,1,0,3,0,0,1,1,2,0,0,0
17530:0,0,7,2,10,6,10,7,5,9,7,5,3,4,6,5,7,5,5,4,8,8,6,4,4,5,3,6,10,8,5,7,6,4,8,2,6,5,6,5,9,5,8,6,8,4,1,9,7,8,6,7,7,5,5,7,3,6,2,8,8,3,1,0,0,0,0
17531:0,0,4,2,6,5,10,7,6,7,3,5,3,6,3,5,2,0,6,2,6,1,7,4,6,6,4,7,3,7,3,8,6,2,7,4,4,5,6,7,5,4,7,8,7,2,5,6,7,5,7,5,5,4,3,7,4,5,5,9,6,4,1,0,0,0,0
17532:0,0,1,2,4,4,7,10,8,8,3,8,2,9,3,10,6,3,6,6,6,3,5,11,8,4,7,2,5,11,6,8,5,5,11,9,8,6,5,10,5,5,5,11,8,10,3,6,3,5,10,8,10,5,8,10,9,6,7,12,3,8,7,0,0,0,0
17021:0,0,0,3,7,6,1,5,8,2,7,4,9,10,4,6,9,5,5,7,6,5,4,6,6,3,5,7,5,3,4,15,5,4,7,5,4,3,6,7,4,5,6,11,9,3,3,4,3,7,7,4,8,3,5,7,10,3,3,6,4,6,4,4,0,0,0
17022:0,0,1,0,2,4,1,3,4,2,6,0,9,3,0,5,2,3,2,4,2,1,5,2,4,2,4,2,1,1,2,7,2,4,4,4,2,1,5,3,1,2,2,6,4,0,1,3,3,1,3,2,6,3,3,2,4,3,1,5,2,5,5,0,0,0,0
17025:0,0,1,1,2,3,5,1,5,3,8,1,7,3,6,2,2,4,5,2,5,4,5,5,1,3,6,1,1,1,8,6,3,5,3,4,2,4,6,3,2,3,3,6,4,1,2,1,4,1,4,3,5,5,4,10,6,2,4,5,1,7,5,0,0,0,0
