17531:0,0,3,3,3,2,4,7,3,8,7,6,6,2,6,8,8,6,6,3,4,6,10,3,6,5,8,6,6,4,2,3,3,11,6,3,3,3,5,5,3,5,6,9,8,3,5,5,5,1,2,5,7,5,3,6,2,4,5,3,10,5,3,0,0,0
17532:0,0,1,5,7,7,5,9,7,7,11,6,5,6,7,5,10,12,8,10,5,8,3,5,11,8,5,9,7,4,4,5,7,8,3,10,6,6,3,9,7,5,9,9,11,7,5,11,6,3,5,7,7,11,5,11,3,5,10,4,6,8,2,0,0,0
17021:0,0,0,2,4,6,6,5,4,6,7,4,6,8,4,5,5,5,7,11,5,6,2,6,8,3,4,5,7,7,2,9,9,5,4,3,4,8,2,8,9,6,7,4,8,6,4,5,8,3,6,7,6,4,12,8,11,4,2,10,9,6,9,1,2,1
17022:0,0,0,1,0,4,4,2,1,4,5,0,6,7,1,4,2,1,5,6,2,1,2,2,8,1,3,3,3,2,2,5,3,2,3,4,3,4,1,6,1,3,2,4,4,5,2,3,5,2,4,4,2,3,8,2,6,2,2,3,6,6,0,0,0,0
17025:0,0,1,1,2,5,4,0,4,1,4,3,4,6,6,6,2,3,2,5,3,2,3,2,5,4,5,3,3,4,4,4,6,4,3,5,5,1,2,6,3,3,5,5,6,5,4,1,8,2,3,6,5,7,3,8,4,2,5,4,6,8,0,0,0,0
17718:0,0,0,3,1,2,2,4,3,1,2,2,2,2,2,5,5,3,1,3,3,6,1,2,2,0,1,0,2,1,2,0,4,1,1,3,1,1,2,2,0,0,2,1,5,1,2,2,3,1,4,1,1,1,2,1,4,5,2,3,0,2,3,0,0,0
917014:0,0,2,4,9,8,9,4,5,8,5,6,4,10,4,7,6,8,6,8,3,4,2,5,7,8,3,11,7,9,11,13,6,5,3,4,8,3,2,7,6,9,6,6,6,6,10,10,9,4,8,8,10,10,6,8,8,8,8,11,10,9,2,5,2,1
17543:0,0,1,2,0,4,2,3,5,3,2,4,4,6,5,4,4,2,1,3,6,5,3,5,6,6,1,2,6,5,4,3,7,0,1,3,4,6,3,9,4,1,3,2,4,6,1,5,4,2,3,4,6,3,3,2,5,2,7,1,2,6,3,1,0,0
17544:0,0,2,5,5,3,6,0,11,7,5,4,11,5,9,6,3,5,4,8,6,7,5,5,4,4,6,2,6,5,5,3,10,4,3,3,7,4,4,10,6,6,6,2,4,6,4,3,5,5,6,10,6,4,6,2,3,6,9,4,5,10,5,1,1,0
917751:0,0,7,4,15,11,6,10,12,11,15,9,12,11,15,6,15,14,15,11,14,7,14,11,10,12,13,10,12,7,11,8,13,13,9,8,8,11,20,1,12,9,6,6,8,6,9,6,15,10,14,7,13,8,11,8,16,7,13,15,15,10,6,2,0,0
