917526:0,0,2,13,14,12,9,7,11,17,10,15,10,12,12,11,8,11,13,9,15,13,6,12,10,11,9,10,12,16,10,10,18,14,15,14,10,12,16,11,10,13,15,13,10,11,11,11,13,13,12,11,10,12,11,10,12,16,9,13,10,14,13,8,3,7,9,5,7,7,9,10,6,6,2,5,7,8,8,9,5,7,6,4,3,8,9,9,8,11,10,7,7,4,6,6,7,6,8,9,9,7,5,5,7,7,8,8,8,11,8,2,3,6,11,7,8,7,7,9,11,7,6,5,7,8,9,11,9,10,10,2,0,9,4,8,6,2,9,5,7,5,7,7,10,10,10,9,10,1,5,4,13,8,8,9,8,9,9,5,2,8,8,8,8,11,9,2,4,0
917527:0,0,2,6,6,12,4,7,8,11,5,8,7,9,9,5,6,6,8,6,11,9,3,10,8,6,4,6,10,7,8,8,15,7,7,6,6,9,10,11,5,6,6,7,4,6,10,6,12,7,6,6,5,7,6,5,8,8,4,7,11,7,8,4,4,5,5,3,2,5,5,4,4,2,3,2,5,3,7,6,4,2,2,1,1,4,2,5,6,6,4,1,4,4,4,4,1,2,4,4,6,3,7,4,3,2,3,5,6,6,3,1,3,3,4,2,2,4,4,4,4,3,3,1,5,5,4,4,3,9,6,6,0,7,5,4,3,2,6,2,3,5,5,4,2,9,7,10,7,0,3,4,6,7,6,6,4,8,4,1,1,6,6,7,4,5,5,2,2,1
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,3,6,12,16,19,8,9,6,8,10,11,13,11,11,15,12,13,14,17,9,5,5,16,11,9,8,12,9,13,11,15,16,10,9,14,13,16,11,14,8,9,7,10,8,14,14,8,14,21,9,14,10,8,10,8,12,9,13,8,8,11,4,2,2,1,0,1,0,3,1,1,0,2,0,1,0,3,1,0,0,0,0,0,3,1,1,0,1,1,1,2,1,1,1,0,0,0,1,1,2,0,0,0,1,2,1,1,3,1,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,3,1,2,0,3,1,0,0,0,2,0,0,2,1,0,0,1,0,2,2,0,1,2,3,3,1,3,2,4,2,0,0,1,2,0,1,3,0,0,0,1
917530:0,0,2,1,2,4,2,7,5,11,3,5,5,7,9,2,3,5,6,3,3,9,2,8,7,2,1,4,5,2,2,4,7,6,5,7,8,5,2,3,3,5,1,6,8,6,5,3,7,6,6,5,2,4,6,3,4,2,4,3,9,4,4,3,3,4,4,3,1,3,3,3,4,1,2,2,4,2,4,5,4,0,2,2,1,1,1,3,5,6,2,1,1,4,3,1,1,2,4,3,3,3,5,4,2,1,1,2,3,4,3,3,2,3,2,2,2,4,4,3,1,5,3,1,3,5,4,3,3,4,5,5,0,3,4,4,4,2,3,0,2,4,4,4,2,6,4,4,6,4,1,3,3,4,4,4,2,3,2,1,1,5,4,7,3,2,5,2,2,0
917531:0,0,1,0,4,1,3,4,4,8,5,4,4,5,4,2,5,4,2,4,3,9,3,7,6,1,1,2,3,4,1,4,6,6,6,7,2,7,2,4,4,4,2,7,6,8,3,6,6,7,4,6,2,4,4,2,5,2,1,3,7,3,2,3,2,1,6,2,1,2,1,2,4,1,2,0,4,2,3,3,4,2,1,2,1,1,1,3,5,5,1,2,1,3,3,1,1,2,4,3,2,3,4,4,1,1,0,2,3,3,2,3,2,2,2,1,3,4,2,5,1,4,3,1,1,5,5,2,3,3,4,3,1,3,3,3,3,2,3,0,1,5,1,4,3,4,3,4,5,4,1,3,3,4,4,4,2,3,2,1,1,2,5,6,3,1,4,2,1,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,3,2,4,3,4,6,6,4,4,3,6,1,3,6,0,1,4,6,8,1,3,2,5,1,0,1,5,2,3,5,3,2,0,5,2,0,4,4,7,2,4,4,5,2,2,3,3,1,5,5,2,2,5,1,4,2,4,0,2,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917022:0,0,3,4,4,3,5,5,9,7,7,9,6,6,7,12,6,4,2,12,7,4,3,7,4,8,7,2,8,2,6,3,7,8,2,7,7,2,7,9,5,6,4,4,8,6,5,7,5,3,6,8,7,7,8,4,4,5,6,5,5,6,6,4,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17439:0,0,2,6,9,11,11,12,10,3,10,10,9,7,6,8,5,6,9,4,10,8,4,8,10,6,12,10,8,5,15,14,9,3,6,6,8,6,9,12,8,4,8,6,7,5,7,7,7,6,4,7,4,6,8,5,5,9,5,6,4,9,6,3,1,1,3,2,0,3,0,2,1,0,2,0,2,0,0,1,0,1,1,0,1,2,1,0,2,1,0,0,2,0,0,0,1,0,0,1,0,2,2,2,0,1,0,2,2,2,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,2,1,3,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,2,0,0,0,2,2,2,1,0,0,1,1,0,1,1,1,1,0,0,2
917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,0,1,0,0,1,2,3,3,3,1,0,0,2,1,2,0,1,0,2,0,2,1,2,1,1,0,1,1,0,1,1,2,2,1,2,0,0,1,0,2,0,0,0,3,1,3,1,0,1,2,2,2,2,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17443:0,0,2,2,5,4,6,4,6,2,0,6,1,5,5,6,5,4,4,5,3,5,2,7,4,3,3,7,6,8,6,4,3,5,8,7,4,4,3,1,3,2,5,8,1,7,2,8,6,9,7,7,2,3,4,0,8,3,7,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
917541:0,0,4,1,4,3,0,3,1,4,7,3,5,5,4,3,2,4,1,3,3,4,3,7,6,1,8,3,4,5,4,6,4,4,4,5,7,5,3,6,8,6,4,7,4,0,3,3,5,3,5,7,6,5,5,8,9,5,3,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
