917035:0,0,2,3,1,2,3,5,4,1,3,5,3,2,5,4,3,1,5,6,6,3,4,4,4,3,1,5,3,2,1,2,5,3,2,3,2,2,6,4,4,1,2,1,4,4,4,2,1,0,2,3,1,4,2,4,5,3,5,4,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16931:0,1,6,8,8,7,12,15,10,11,10,14,15,9,5,10,4,15,9,11,10,8,6,7,14,3,7,8,7,12,9,9,6,9,6,10,12,7,13,7,5,10,11,9,11,13,13,12,13,14,4,10,8,8,11,6,13,10,5,11,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917430:0,0,10,26,21,25,21,18,28,25,29,21,31,30,23,18,30,16,24,28,21,21,22,20,23,17,24,23,17,28,25,28,24,25,28,27,30,18,20,31,28,24,34,24,19,19,27,30,22,14,27,19,20,24,28,25,22,20,27,26,27,20,17,10,1,2,1,4,2,1,2,1,1,3,1,0,2,2,1,2,4,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
17528:0,0,6,9,9,12,12,11,16,14,20,19,4,12,10,14,14,12,10,13,12,12,11,15,12,12,9,14,8,10,16,10,17,10,8,9,9,14,12,12,10,6,11,11,13,11,10,11,17,11,17,14,9,17,10,15,14,13,10,12,8,11,6,5,4,3,5,4,4,1,4,4,5,5,4,3,6,6,6,6,4,4,5,3,2,6,3,6,3,6,6,5,6,2,6,8,4,2,4,5,5,4,5,3,5,2,5,5,3,3,2,4,3,3,6,3,4,5,6,4,5,3,3,11,4,3,9,5,1,2,2,2,4,3,6,3,1,1,0,2,3,2,0,3,2,1,3,5,4,4,2,4,3,2,5,3,4,2,3,1,1,3,2,6,4,5,4,2,3,2,1,3,4,0,0,1,2
917429:0,0,5,13,9,12,11,20,14,16,18,14,12,19,17,20,17,14,14,13,10,14,11,15,15,9,9,13,12,17,10,15,15,16,15,17,15,17,17,24,16,14,10,12,9,16,17,18,11,14,7,12,14,17,16,15,13,19,13,20,9,13,11,5,4,5,6,2,2,4,3,3,3,4,1,2,3,4,3,0,4,2,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17102:0,0,4,10,16,9,4,10,14,12,7,9,7,11,11,4,8,11,6,5,9,8,9,4,6,8,14,8,8,8,9,13,4,9,10,8,9,11,9,8,6,8,10,14,9,8,5,12,8,4,9,6,11,7,1,8,3,7,8,8,5,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17523:0,0,3,6,6,9,4,8,4,9,9,11,9,12,10,11,7,6,6,8,8,6,3,6,7,8,8,6,15,12,9,8,8,8,14,7,7,9,8,15,7,9,7,9,9,10,0,7,9,14,6,3,8,12,6,6,8,7,12,6,8,8,10,10,3,0,2,1,0,2,0,3,1,3,3,2,0,1,0,1,1,2,0,1,2,1,1,2,2,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,1,1,2,0,0,0,3,2,2,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17989:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917069:0,0,0,0,6,1,0,2,0,2,2,1,2,1,3,2,0,0,1,3,3,1,1,5,1,3,0,1,2,1,1,3,0,3,1,2,0,3,1,2,1,2,1,3,2,2,1,2,5,0,3,2,0,1,0,2,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917432:0,0,7,9,13,12,10,19,25,15,20,22,18,14,16,27,21,16,12,24,20,13,21,20,16,24,17,16,13,18,27,19,19,15,16,19,17,16,19,18,29,17,17,19,15,14,18,20,23,18,23,16,15,17,29,17,23,19,21,14,11,21,16,13,9,6,2,4,4,4,3,5,1,6,5,2,5,1,5,3,5,4,4,3,5,7,2,2,2,1,2,3,0,0,2,1,2,1,4,5,5,4,4,2,5,2,1,2,3,5,1,3,2,5,4,2,3,3,2,2,3,3,5,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
