917526:0,0,3,9,11,12,13,7,11,15,15,12,12,9,15,12,10,8,11,10,11,14,12,10,12,5,7,5,13,9,16,10,18,9,8,10,8,15,12,15,11,13,15,17,12,5,12,13,13,8,11,15,15,10,6,11,18,13,19,8,10,11,11,6,4,7,7,7,11,10,8,10,8,2,5,11,9,9,4,7,9,5,9,5,6,9,9,6,8,3,10,2,5,5,6,10,9,9,6,9,7,7,4,1,10,5,6,10,8,6,3,0,0
917527:0,0,3,4,4,6,10,5,9,9,9,8,5,5,8,9,6,8,8,6,3,10,9,7,14,2,3,6,8,5,7,6,16,9,7,8,7,9,6,6,5,9,10,9,7,6,9,9,7,9,3,11,5,10,6,10,11,10,10,4,9,10,9,4,4,6,4,3,6,6,3,2,4,1,2,8,5,4,4,3,7,3,3,3,1,4,4,2,3,2,7,0,3,2,2,4,7,5,3,3,2,5,3,0,4,4,6,8,5,5,2,0,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,7,5,2,7,14,16,9,12,14,10,7,6,10,5,9,13,10,11,5,11,9,15,8,10,10,11,9,6,8,3,13,13,12,8,12,10,10,12,10,7,8,10,17,9,9,11,6,11,9,6,17,8,5,8,12,7,13,6,12,14,6,5,3,1,2,0,1,1,4,0,2,0,0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,2,1,3,2,2,0,2,0,1,0,0,1,1,2,1,1,0,1,0,0
917530:0,0,0,2,5,5,2,5,7,7,4,6,4,7,3,8,4,5,9,6,3,4,6,5,10,2,3,4,6,3,5,5,5,9,5,3,5,6,6,3,2,6,7,8,3,3,8,5,6,5,8,6,1,8,4,6,6,4,6,6,5,5,3,4,2,6,2,3,2,5,2,2,2,0,1,4,4,3,3,2,3,2,4,3,2,4,4,1,2,2,4,0,2,1,1,1,5,3,3,1,2,4,3,0,3,3,3,3,4,5,3,0,0
917531:0,0,0,1,4,4,1,3,5,6,5,3,6,5,3,4,5,9,9,4,5,4,5,3,8,2,4,3,6,4,5,7,5,10,5,3,3,4,7,2,3,4,9,4,2,6,5,3,7,3,8,7,2,7,5,4,9,4,4,3,5,5,2,4,1,4,2,1,2,4,2,2,1,0,0,3,3,4,3,1,2,2,4,2,2,3,2,1,2,2,4,0,1,1,1,0,3,2,2,1,2,4,2,0,2,3,2,4,3,4,3,0,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,1,2,5,0,1,3,6,1,6,1,5,3,3,0,5,2,4,1,2,5,2,6,5,3,4,4,1,6,8,4,3,4,2,3,3,6,6,4,2,4,4,3,4,3,4,4,7,3,3,6,4,3,2,5,3,3,3,5,2,5,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917022:0,0,2,4,5,4,0,4,5,3,5,2,7,11,4,2,4,6,8,7,4,5,4,5,4,8,8,6,5,4,6,11,6,5,4,6,4,4,6,7,4,6,6,4,8,7,5,10,10,3,2,6,7,5,6,7,4,7,3,3,2,5,4,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17439:0,0,6,5,6,11,10,13,7,12,5,15,4,11,9,6,5,11,2,6,4,17,10,8,8,7,9,16,8,7,11,9,6,8,6,15,6,12,7,7,7,4,4,13,5,12,12,5,7,15,6,8,6,10,10,10,5,12,9,16,7,6,6,3,2,2,2,1,1,0,1,3,1,1,1,0,2,0,2,3,0,1,2,1,0,0,1,2,1,2,1,1,0,0,0,1,2,2,0,3,0,5,1,2,0,1,0,3,2,1,0,0,0
